period,start,end,hold_days,bottom_n,cost_bps_oneway,avg_daily_turnover,days,avg_daily_ret_gross,sharpe_gross,ann_ret_gross,ann_vol_gross,win_rate_gross,avg_daily_ret_net,sharpe_net,ann_ret_net,ann_vol_net,win_rate_net
2022-2025,2022-01-01,2025-11-14,3,20,10,0.2639634986225895,967,0.0019369013722661636,1.7224431085993535,0.4880991458110732,0.28337606239313357,0.5749741468459152,0.0014089743750209844,1.252969426940176,0.3550615425052881,0.28337606239313357,0.5573940020682523
2022-2025,2022-01-01,2025-11-14,3,20,20,0.2639634986225895,967,0.0019369013722661636,1.7224431085993535,0.4880991458110732,0.28337606239313357,0.5749741468459152,0.0008810473777758056,0.783495745280999,0.222023939199503,0.28337606239313357,0.5429162357807652
2022-2025,2022-01-01,2025-11-14,3,30,0,0.2339416896235078,967,0.0018092148041819658,1.5910541399570644,0.4559221306538554,0.2865534988433258,0.5687693898655636,0.0018092148041819658,1.5910541399570644,0.4559221306538554,0.2865534988433258,0.5687693898655636
2022-2025,2022-01-01,2025-11-14,3,30,5,0.2339416896235078,967,0.0018092148041819658,1.5910541399570644,0.4559221306538554,0.2865534988433258,0.5687693898655636,0.0015752731145584576,1.385321856027225,0.3969688248687313,0.2865534988433258,0.5687693898655636
2022-2025,2022-01-01,2025-11-14,3,30,10,0.2339416896235078,967,0.0018092148041819658,1.5910541399570644,0.4559221306538554,0.2865534988433258,0.5687693898655636,0.0013413314249349502,1.179589572097386,0.33801551908360744,0.2865534988433258,0.5594622543950362
2022-2025,2022-01-01,2025-11-14,3,30,20,0.2339416896235078,967,0.0018092148041819658,1.5910541399570644,0.4559221306538554,0.2865534988433258,0.5687693898655636,0.0008734480456879345,0.7681250042377074,0.22010890751335951,0.2865534988433258,0.5501551189245087
2022-2025,2022-01-01,2025-11-14,3,50,0,0.1887258953168044,967,0.0017954936432160386,1.584092866457499,0.4524643980904417,0.28562997010540564,0.5729058945191313,0.0017954936432160386,1.584092866457499,0.4524643980904417,0.28562997010540564,0.5729058945191313
2022-2025,2022-01-01,2025-11-14,3,50,5,0.1887258953168044,967,0.0017954936432160386,1.584092866457499,0.4524643980904417,0.28562997010540564,0.5729058945191313,0.0016067677478992346,1.4175874902804682,0.4049054724706071,0.28562997010540564,0.5677352637021716
2022-2025,2022-01-01,2025-11-14,3,50,10,0.1887258953168044,967,0.0017954936432160386,1.584092866457499,0.4524643980904417,0.28562997010540564,0.5729058945191313,0.0014180418525824303,1.2510821141034372,0.35734654685077244,0.28562997010540564,0.5635987590486039
2022-2025,2022-01-01,2025-11-14,3,50,20,0.1887258953168044,967,0.0017954936432160386,1.584092866457499,0.4524643980904417,0.28562997010540564,0.5729058945191313,0.0010405900619488214,0.9180713617493749,0.262228695611103,0.28562997010540564,0.5501551189245087
