name,rank_mode,bottom_n,hold_days,cost_bps_oneway,zscore_filter,rsi_filter,days,avg_breadth,turnover,sharpe_gross,ann_ret_gross,ann_vol_gross,win_rate_gross,sharpe_net,ann_ret_net,ann_vol_net,win_rate_net,beta_net_vs_eqw,alpha_ann_net_vs_eqw,r2_net_vs_eqw
rsi_rank AND rsi<= 20.0,rsi,30,3,10,,20.0,2503,50.027167399121055,0.27785649691505593,1.6672131869208056,0.5259282745715699,0.3154535236989774,0.5745105872952457,1.2243250579034342,0.3858886001263816,0.3151847604811644,0.5605273671594088,0.882729763878227,0.24744994003628443,0.2826017056243547
combo_rank AND rsi<= 15.0,combo,30,3,10,,15.0,2498,49.08126501200961,0.2981406159825171,1.6699532151089895,0.5433155001186549,0.32534773741143125,0.5712570056044836,1.208479108989362,0.3930526296634663,0.32524569662786473,0.5524419535628503,0.8626356648751506,0.2582234242130187,0.25345099113964575
rsi_rank AND rsi<= 15.0,rsi,30,3,10,,15.0,2498,45.0244195356285,0.2848787034655334,1.6428248123929112,0.537653536725021,0.3272738107369366,0.5684547638110489,1.2050559319406193,0.39407467017839215,0.32701774227506214,0.5532425940752602,0.8620683756205769,0.2593341315458947,0.2503819907615482
z_rank AND z<= -1.0,zscore,20,3,10,-1.0,,2500,46.8564,0.3148335305922148,1.7363800772913311,0.5169536769330313,0.2977191939102723,0.5772,1.2034067243263256,0.3582775775145552,0.29771944120980476,0.556,0.8282022992474264,0.22991609654009987,0.2789771358222134
combo_rank AND rsi<= 20.0,combo,50,3,10,,20.0,2503,72.19696364362764,0.2821512383534448,1.6452825956433894,0.5030925308019987,0.30577879577293154,0.5777067518977227,1.1809203552735115,0.3608883066718625,0.3055991922404265,0.5597283260087894,0.8761356353050211,0.2234838048955462,0.29613377655681583
rsi_rank AND rsi<= 20.0,rsi,50,3,10,,20.0,2503,68.3156212544946,0.2750871534759088,1.6194544611828519,0.5000001724970539,0.3087460527490554,0.5761086695964842,1.171512102065432,0.3613562471451957,0.308452850387211,0.5593288054334798,0.881840194744157,0.22305709833478748,0.29447732830824913
combo_rank AND rsi<= 20.0,combo,20,3,10,,20.0,2503,42.39352776667998,0.301451894062124,1.6307547753215497,0.5284500054746645,0.32405240412094793,0.5697163403915302,1.1620999204940408,0.3765182508673539,0.32399817281399146,0.5541350379544546,0.8978967675964147,0.23570094698586302,0.2767052209357844
combo_rank AND rsi<= 15.0,combo,50,3,10,,15.0,2498,61.469975980784625,0.29031803842033505,1.6162800527098315,0.5181373033551901,0.3205739639528984,0.5692554043234588,1.160423463541562,0.3718170119913414,0.3204149378853234,0.5488390712570056,0.8578325012710459,0.23773853684194576,0.25825085981365226
combo_rank (rank_z + rank_rsi),combo,10,3,10,,,2503,25.529364762285258,0.3142762018910641,1.6261444440236819,0.5494802103282412,0.33790369136497145,0.5605273671594088,1.1574577882723094,0.39108500457514495,0.3378827362325687,0.5421494206951658,0.9258973344971464,0.2458763669898149,0.2705473734414041
rsi_rank AND rsi<= 15.0,rsi,50,3,10,,15.0,2498,58.82826261008807,0.284500832264621,1.5952669951115506,0.5138584266760937,0.3221143722340734,0.5692554043234588,1.1510329543020572,0.37047000721472473,0.32185873204591586,0.5508406725380304,0.8596182202859972,0.23611242573371405,0.25700580022330055
z_rank AND rsi<= 20.0,zscore,50,3,10,,20.0,2503,73.67159408709549,0.2913169186278737,1.6181437713128461,0.4921074845705317,0.30411851733747425,0.5761086695964842,1.135645923193084,0.3452837575820833,0.304041735659344,0.5581302437075509,0.870316254940183,0.20879191022530683,0.2952143356556708
z_rank AND rsi<= 10.0,zscore,20,3,10,,10.0,2485,26.8523138832998,0.3209068776226366,1.6000968717524817,0.5541082766558104,0.3462967064293625,0.5517102615694165,1.13306468408184,0.3923712103340015,0.34629197771877696,0.537625754527163,0.8233397684123721,0.25669536855444647,0.2039216422326865
