symbol,trade_id,entry_date,exit_date,holding_days
ANET,6,2017-01-17,2017-01-20,3
ANET,7,2017-08-02,2017-08-07,5
ANET,8,2017-10-16,2017-10-19,3
ANET,9,2017-12-04,2017-12-07,3
ANET,10,2018-02-16,2018-02-22,6
ANET,11,2018-04-13,2018-04-19,6
ANET,12,2018-05-04,2018-05-09,5
ANET,13,2018-09-05,2018-09-10,5
ANET,14,2019-01-29,2019-02-01,3
ANET,15,2019-04-05,2019-04-10,5
ANET,16,2019-05-03,2019-05-10,7
ANET,17,2019-06-14,2019-06-19,5
ANET,18,2019-08-09,2019-08-15,6
ANET,19,2019-10-03,2019-10-08,5
ANET,20,2019-11-01,2019-11-06,5
ANET,21,2019-12-06,2019-12-11,5
ANET,22,2020-04-13,2020-04-16,3
ANET,23,2020-06-18,2020-06-23,5
ANET,24,2020-06-24,2020-07-02,8
ANET,25,2020-08-05,2020-08-10,5
ANET,26,2020-08-12,2020-08-19,7
ANET,27,2020-09-21,2020-09-24,3
ANET,28,2020-10-26,2020-10-29,3
ANET,29,2021-08-11,2021-08-18,7
ANET,30,2021-09-01,2021-09-07,6
ANET,31,2022-01-07,2022-01-12,5
ANET,32,2022-09-01,2022-09-07,6
ANET,33,2022-10-14,2022-10-19,5
ANET,34,2023-01-04,2023-01-10,6
ANET,35,2023-03-28,2023-04-03,6
ANET,36,2023-04-06,2023-04-12,6
ANET,37,2023-04-20,2023-04-25,5
ANET,38,2023-05-02,2023-05-08,6
ANET,39,2023-06-02,2023-06-12,10
ANET,40,2023-06-16,2023-06-26,10
ANET,41,2023-07-28,2023-08-02,5
ANET,42,2023-09-15,2023-09-20,5
ANET,43,2024-02-20,2024-02-26,6
ANET,44,2024-03-27,2024-04-02,6
ANET,45,2024-04-22,2024-04-25,3
ANET,46,2024-06-03,2024-06-07,4
ANET,47,2024-07-16,2024-07-23,7
ANET,48,2024-11-18,2024-11-21,3
ANET,49,2025-02-14,2025-02-20,6
ANET,50,2025-04-21,2025-04-24,3
ANET,51,2025-05-29,2025-06-03,5
ANET,52,2025-10-14,2025-10-17,3
ANET,53,2025-11-05,2025-11-11,6
APH,1,2016-01-05,2016-01-13,8
APH,2,2016-04-20,2016-04-26,6
APH,3,2016-06-17,2016-06-22,5
APH,4,2017-06-22,2017-06-27,5
APH,5,2017-12-26,2017-12-29,3
APH,6,2018-04-06,2018-04-11,5
APH,7,2018-08-22,2018-08-27,5
APH,8,2018-10-08,2018-10-11,3
APH,9,2019-01-03,2019-01-08,5
APH,10,2021-01-15,2021-01-21,6
APH,11,2022-11-28,2022-12-02,4
APH,12,2023-02-10,2023-02-15,5
